time (ms),BID,b_lat (deg),b_lon (deg),b_head (deg),b_sp (mps),RID,r_lat (deg),r_lon (deg),r_head (deg),r_speed (mps),dist (m),beh_phase,colregs,avoidance,beh_label,abs_b_r,abs_r_b,rel_b_r,rel_r_b,abs_dheading,r_accel,dvx,dvy,xr,yr,cpa_time (s),cpa_dist (m),S_side,S_beam,S_reg_b_r,S_reg_r_b,S_drel_bear,S_ddist,S_accel,S_dabs_heading,S_cpa_t,S_cpa_ddist,S_cpa_tdist
0.0,101,21.02926,122.112835,150.0,9.903025,102,21.017503,122.184441,86.0,20.0,7556.717773,3,0,0,1,99.96337216289324,-80.01093926039117,-50.036627837106764,-166.01093926039118,64.0,0.0,-14.999768505196485,-9.971400699194895,7442.751594458259,-1307.4525627964942,-424.9807348849439,5647.045130674674,0,0,0,0,1,2,2,0,1,0,0
1000.0,101,21.029182,122.112882,150.0,9.903025,102,21.017515,122.184633,86.0,20.0,7569.816751,3,0,0,1,99.8688783415877,-80.10538110166614,-50.1311216584123,-166.10538110166613,64.0,0.0,-14.999768505196485,-9.971400699194895,7457.802906055661,-1297.4210797377746,-426.3849218295943,5649.810593684391,0,0,0,0,2,0,2,2,1,0,0
2000.0,101,21.029105,122.11293,150.0,9.903025,102,21.017528,122.184825,86.0,20.0,7582.935878,3,0,0,1,99.77484537788288,-80.19936244306822,-50.22515462211712,-166.19936244306822,64.0,0.0,-14.999768505196485,-9.971400699194895,7472.850839613293,-1287.4070291677533,-427.788141186037,5652.593612566667,0,0,0,0,2,0,2,2,1,0,0
3000.0,101,21.029028,122.112978,150.0,9.903025,102,21.01754,122.185018,86.0,20.0,7596.07505,3,0,0,1,99.68183100996727,-80.29232483067744,-50.31816899003273,-166.29232483067744,64.0,0.0,-14.999768505196485,-9.971400699194895,7487.88300586989,-1277.483563744521,-429.1864480982882,5655.43605830683,0,0,0,0,2,0,2,2,1,0,0
4000.0,101,21.028951,122.113025,150.0,9.903025,102,21.017553,122.18521,86.0,20.0,7609.234161,3,0,0,1,99.58831231862865,-80.38579154127001,-50.41168768137135,-166.38579154127,64.0,0.0,-14.999768505196485,-9.971400699194895,7502.933429640739,-1267.4519585802263,-430.5905828930075,5658.224240432984,0,0,0,0,2,0,2,2,1,0,0
5000.0,101,21.028874,122.113073,150.0,9.903025,102,21.017566,122.185402,86.0,20.0,7622.41311,3,0,0,1,99.49524641238224,-80.47880582566961,-50.504753587617756,-166.4788058256696,64.0,0.0,-14.999768505196485,-9.971400699194895,7517.980649471394,-1257.4373040726755,-431.9937820627726,5661.029694100016,0,0,0,0,2,0,2,2,1,0,0
6000.0,101,21.028797,122.113121,150.0,9.903025,102,21.017578,122.185594,86.0,20.0,7635.611793,3,0,0,1,99.4033241918073,-80.57067642513918,-50.5966758081927,-166.5706764251392,64.0,0.0,-14.999768505196485,-9.971400699194895,7533.009665139427,-1247.530696342443,-433.39116079455334,5663.904672677273,0,0,0,0,2,0,2,2,1,0,0
7000.0,101,21.02872,122.113169,150.0,9.903025,102,21.017591,122.185786,86.0,20.0,7648.830108,3,0,0,1,99.31089478368824,-80.66305421171101,-50.68910521631176,-166.66305421171103,64.0,0.0,-14.999768505196485,-9.971400699194895,7548.056538988821,-1237.5154565803984,-434.79436274933187,5666.7249480185255,0,0,0,0,2,0,2,2,1,0,0
8000.0,101,21.028643,122.113216,150.0,9.903025,102,21.017603,122.185979,86.0,20.0,7662.067955,3,0,0,1,99.21935458415518,-80.75454207295498,-50.780645415844816,-166.75454207295496,64.0,0.0,-14.999768505196485,-9.971400699194895,7563.090898881072,-1227.5754161354769,-436.19352382696064,5669.595952908237,0,0,0,0,2,0,2,2,1,0,0
9000.0,101,21.028565,122.113264,150.0,9.903025,102,21.017616,122.186171,86.0,20.0,7675.325231,3,0,0,1,99.12673922119318,-80.84710581526592,-50.873260778806824,-166.84710581526593,64.0,0.0,-14.999768505196485,-9.971400699194895,7578.154760391299,-1217.4513662499585,-437.6025003797582,5672.368790448422,0,0,0,0,2,0,2,2,1,0,0
10000.0,101,21.028488,122.113312,150.0,9.903025,102,21.017628,122.186363,86.0,20.0,7688.601836,3,0,0,1,99.03607998260918,-80.93771343335267,-50.96392001739082,-166.93771343335266,64.0,0.0,-14.999768505196485,-9.971400699194895,7593.183486434857,-1207.544091897084,-438.9998890369724,5675.273736387384,0,0,0,0,2,0,2,2,1,0,0
11000.0,101,21.028411,122.113359,150.0,9.903025,102,21.017641,122.186555,86.0,20.0,7701.897671,3,0,0,1,98.94479315120337,-81.0289482850787,-51.05520684879663,-167.02894828507868,64.0,0.0,-14.999768505196485,-9.971400699194895,7608.231913912706,-1197.5119534582655,-440.4039176906622,5678.1144118481325,0,0,0,0,2,0,2,2,1,0,0
12000.0,101,21.028334,122.113407,150.0,9.903025,102,21.017653,122.186747,86.0,20.0,7715.212637,3,0,0,1,98.85475781890086,-81.11893199718783,-51.145242181099135,-167.11893199718781,64.0,0.0,-14.999768505196485,-9.971400699194895,7623.260579850238,-1187.604381023372,-441.80131527276484,5681.034317082572,0,0,0,0,2,0,2,2,1,0,0
13000.0,101,21.028257,122.113455,150.0,9.903025,102,21.017666,122.18694,86.0,20.0,7728.546633,3,0,0,1,98.76409781126758,-81.20954002543704,-51.235902188732425,-167.20954002543704,64.0,0.0,-14.999768505196485,-9.971400699194895,7638.308509711304,-1177.5721502003653,-443.2053157261108,5683.889946140198,0,0,0,0,2,0,2,2,1,0,0
14000.0,101,21.02818,122.113503,150.0,9.903025,102,21.017678,122.187132,86.0,20.0,7741.899563,3,0,0,1,98.6746817471787,-81.29890446963857,-51.325318252821305,-167.29890446963856,64.0,0.0,-14.999768505196485,-9.971400699194895,7653.337113024434,-1167.6642830807245,-444.6027219242847,5686.824765738961,0,0,0,0,2,0,2,2,1,0,0
15000.0,101,21.028103,122.11355,150.0,9.903025,102,21.017691,122.187324,86.0,20.0,7755.271327,3,0,0,1,98.58464390128512,-81.38889033645897,-51.41535609871488,-167.38889033645899,64.0,0.0,-14.999768505196485,-9.971400699194895,7668.384548867584,-1157.6319648650228,-446.00669419543203,5689.69530781172,0,0,0,0,2,0,2,2,1,0,0
16000.0,101,21.028026,122.113598,150.0,9.903025,102,21.017704,122.187516,86.0,20.0,7768.66183,3,0,0,1,98.49503028937968,-81.47845232817365,-51.504969710620315,-167.47845232817366,64.0,0.0,-14.999768505196485,-9.971400699194895,7683.4293574730555,-1147.6148908149173,-447.4098414654119,5692.582095858181,0,0,0,0,2,0,2,2,1,0,0
17000.0,101,21.027948,122.113646,150.0,9.903025,102,21.017716,122.187709,86.0,20.0,7782.070975,3,0,0,1,98.40561111682968,-81.56781952315505,-51.594388883170325,-167.56781952315504,64.0,0.0,-14.999768505196485,-9.971400699194895,7698.476139389187,-1137.5824327022717,-448.81377747277577,5695.467436325444,0,0,0,0,2,0,2,2,1,0,0
18000.0,101,21.027871,122.113693,150.0,9.903025,102,21.017729,122.187901,86.0,20.0,7795.498665,3,0,0,1,98.31650031132912,-81.65687835003338,-51.68349968867088,-167.65687835003337,64.0,0.0,-14.999768505196485,-9.971400699194895,7713.522570320782,-1127.549995862119,-450.2176898748776,5698.360209397189,0,0,0,0,2,0,2,2,1,0,0
19000.0,101,21.027794,122.113741,150.0,9.903025,102,21.017741,122.188093,86.0,20.0,7808.944804,3,0,0,1,98.22861471017664,-81.74471233205678,-51.77138528982336,-167.7447123320568,64.0,0.0,-14.999768505196485,-9.971400699194895,7728.550745838948,-1117.6414098049636,-451.61509931415543,5701.33206099498,0,0,0,0,2,0,2,2,1,0,0
20000.0,101,21.027717,122.113789,150.0,9.903025,102,21.017754,122.188285,86.0,20.0,7822.409298,3,0,0,1,98.14022262839617,-81.83305279425642,-51.859777371603826,-167.83305279425642,64.0,0.0,-14.999768505196485,-9.971400699194895,7743.594602687164,-1107.6235166657793,-453.0182202554869,5704.24811129581,0,0,0,0,2,0,2,2,1,0,0
21000.0,101,21.02764,122.113837,150.0,9.903025,102,21.017766,122.188477,86.0,20.0,7835.892052,3,0,0,1,98.05293884584252,-81.92028495798931,-51.94706115415748,-167.9202849579893,64.0,0.0,-14.999768505196485,-9.971400699194895,7758.6227599287095,-1097.714498270377,-454.41564709386313,5707.234644065541,0,0,0,0,2,0,2,2,1,0,0
22000.0,101,21.027563,122.113884,150.0,9.903025,102,21.017779,122.18867,86.0,20.0,7849.392972,3,0,0,1,97.96493774409187,-82.00823372298636,-52.03506225590813,-168.00823372298635,64.0,0.0,-14.999768505196485,-9.971400699194895,7773.670274761195,-1087.6674529364195,-455.82025740155893,5710.148620950198,0,0,0,0,2,0,2,2,1,0,0
23000.0,101,21.027486,122.113932,150.0,9.903025,102,21.017791,122.188862,86.0,20.0,7862.911965,3,0,0,1,97.87825387615744,-82.09486597239808,-52.121746123842556,-168.09486597239808,64.0,0.0,-14.999768505196485,-9.971400699194895,7788.6983248829865,-1077.7583093185228,-457.2176826963885,5713.149956307384,0,0,0,0,2,0,2,2,1,0,0
24000.0,101,21.027408,122.11398,150.0,9.903025,102,21.017804,122.189054,86.0,20.0,7876.448937,3,0,0,1,97.79026126625895,-82.18280696393276,-52.20973873374105,-168.18280696393276,64.0,0.0,-14.999768505196485,-9.971400699194895,7803.756355946403,-1067.6303640279914,-458.62644972628647,5716.031724426219,0,0,0,0,2,0,2,2,1,0,0
25000.0,101,21.027331,122.114027,150.0,9.903025,102,21.017817,122.189246,86.0,20.0,7890.003797,3,0,0,1,97.70326850356497,-82.26974774906247,-52.29673149643503,-168.26974774906247,64.0,0.0,-14.999768505196485,-9.971400699194895,7818.800889368521,-1057.5975458956223,-460.0302558419099,5718.976025679034,0,0,0,0,2,0,2,2,1,0,0
26000.0,101,21.027254,122.114075,150.0,9.903025,102,21.017829,122.189438,86.0,20.0,7903.576451,3,0,0,1,97.61747515804947,-82.3554894765178,-52.38252484195053,-168.3554894765178,64.0,0.0,-14.999768505196485,-9.971400699194895,7833.828622376816,-1047.687850474321,-461.42768435041074,5721.999220219851,0,0,0,0,2,0,2,2,1,0,0
27000.0,101,21.027177,122.114123,150.0,9.903025,102,21.017842,122.189631,86.0,20.0,7917.166809,3,0,0,1,97.53107692983191,-82.44183572747441,-52.46892307016809,-168.44183572747443,64.0,0.0,-14.999768505196485,-9.971400699194895,7848.8726853795,-1037.654976490182,-462.8314624539296,5724.958192248456,0,0,0,0,2,0,2,2,1,0,0
28000.0,101,21.0271,122.11417,150.0,9.903025,102,21.017854,122.189823,86.0,20.0,7930.77478,3,0,0,1,97.4457731727049,-82.52708750810727,-52.554226827295096,-168.5270875081073,64.0,0.0,-14.999768505196485,-9.971400699194895,7863.902107105276,-1027.7316093948077,-464.2295877073464,5727.98819879855,0,0,0,0,2,0,2,2,1,0,0
29000.0,101,21.027023,122.114218,150.0,9.903025,102,21.017867,122.190015,86.0,20.0,7944.400273,3,0,0,1,97.3600626076488,-82.6127464549427,-52.6399373923512,-168.61274645494268,64.0,0.0,-14.999768505196485,-9.971400699194895,7878.943952157942,-1017.7120891471557,-465.63264851530505,5730.9696009227255,0,0,0,0,2,0,2,2,1,0,0
30000.0,101,21.026946,122.114266,150.0,9.903025,102,21.017879,122.190207,86.0,20.0,7958.043198,3,0,0,1,97.27543927856078,-82.69731816657931,-52.72456072143922,-168.6973181665793,64.0,0.0,-14.999768505196485,-9.971400699194895,7893.971557094412,-1007.8018639685581,-467.03009151147734,5734.021974938137,0,0,0,0,2,0,2,2,1,0,0
31000.0,101,21.026869,122.114314,150.0,9.903025,102,21.017892,122.1904,86.0,20.0,7971.703466,3,0,0,1,97.19021651614605,-82.78248895233864,-52.80978348385395,-168.78248895233864,64.0,0.0,-14.999768505196485,-9.971400699194895,7909.014691473418,-997.7688910233944,-468.43381383285737,5737.010164862104,0,0,0,0,2,0,2,2,1,0,0
32000.0,101,21.026791,122.114361,150.0,9.903025,102,21.017904,122.190592,86.0,20.0,7985.380988,3,0,0,1,97.10528599049049,-82.86736750273397,-52.894714009509514,-168.86736750273397,64.0,0.0,-14.999768505196485,-9.971400699194895,7924.05749781727,-987.7359438624128,-469.83751383874545,5740.005641085543,0,0,0,0,2,0,2,2,1,0,0
33000.0,101,21.026714,122.114409,150.0,9.903025,102,21.017917,122.190784,86.0,20.0,7999.075675,3,0,0,1,97.02073802442975,-82.95186385117644,-52.97926197557025,-168.95186385117643,64.0,0.0,-14.999768505196485,-9.971400699194895,7939.09841687556,-977.7156956603898,-471.24054606690487,5743.015788022581,0,0,0,0,2,0,2,2,1,0,0
34000.0,101,21.026637,122.114457,150.0,9.903025,102,21.017929,122.190976,86.0,20.0,8012.78744,3,0,0,1,96.93726800185443,-83.03528225690678,-53.062731998145566,-169.03528225690678,64.0,0.0,-14.999768505196485,-9.971400699194895,7954.125734992113,-967.8049134809756,-472.63799445858814,5746.097106391116,0,0,0,0,2,0,2,2,1,0,0
