time (ms),BID,b_lat (deg),b_lon (deg),b_head (deg),b_sp (mps),RID,r_lat (deg),r_lon (deg),r_head (deg),r_speed (mps),dist (m),beh_phase,colregs,avoidance,beh_label,abs_b_r,abs_r_b,rel_b_r,rel_r_b,abs_dheading,r_accel,dvx,dvy,xr,yr,cpa_time (s),cpa_dist (m),S_side,S_beam,S_reg_b_r,S_reg_r_b,S_drel_bear,S_ddist,S_accel,S_dabs_heading,S_cpa_t,S_cpa_ddist,S_cpa_tdist
0.0,101,82.34102618158826,46.74145350495621,-150.0,10.0,102,82.29102618158826,46.691453504956215,45.0,25.0,5633.392933,0,-1,0,7,-172.35943370564684,7.591015257671177,-22.359433705646836,-37.408984742328826,165.0,0.0,-22.67766952966369,-26.337923567508078,-749.0055190350358,-5583.377711567559,206.6954951014173,3940.834580847602,0,0,0,0,1,2,2,0,0,0,0
1000.0,101,82.34094829792136,46.74111611911819,-150.0,9.903025,102,82.29122088961279,46.692291561125415,30.0,25.7222,5600.908795,2,-1,0,7,-172.496764687378,7.454849156737671,-22.496764687378004,-22.545150843262327,180.0,0.0007222000000000009,-17.812612499999997,-30.852349865536482,-731.3788568396822,-5552.950954013211,249.13407515106647,4276.507141511291,0,0,0,0,2,1,2,0,0,0,0
2000.0,101,82.3408711695326,46.74078200842384,-150.0,9.903025,102,82.29144433246525,46.69273791567733,15.0,25.7222,5566.115051,2,-1,0,7,-172.5711856051761,7.381201688139603,-22.57118560517611,-7.618798311860397,165.0,0.0,-11.608907741936058,-33.422008513285064,-719.6669364816763,-5519.394555701178,298.73855763868653,5243.104487904156,0,0,0,0,2,1,2,1,0,0,0
3000.0,101,82.34079404114382,46.740447901073935,-150.0,9.903025,102,82.29167374034459,46.692959505957376,7.382083969560223,25.7222,5531.099358,2,-1,0,7,-172.61106536028493,7.341872632690513,-22.611065360284925,-0.040211336869710124,157.3820839695602,0.0,-8.256442252307826,-34.08526987522597,-711.3219207070663,-5485.169207343528,319.8479245450466,5750.3111515133605,0,0,0,0,2,1,2,1,0,0,0
4000.0,101,82.34071691275506,46.740113797068396,-150.0,9.903025,102,82.29190314822394,46.69318110279255,7.382083969560223,25.7222,5496.086356,2,-1,0,7,-172.65144854299257,7.3020401530203545,-22.65144854299257,-0.08004381653986847,157.3820839695602,0.0,-8.256442252307826,-34.08526987522597,-702.9773494012484,-5450.943778726593,317.7986983089228,5713.877521464379,0,0,0,0,2,1,2,2,0,1,0
5000.0,101,82.3406397843663,46.739779696407155,-150.0,9.903025,102,82.29213255610325,46.69340270618323,7.382083969560223,25.7222,5461.076097,2,-1,0,7,-172.692344796282,7.261694606146962,-22.692344796281986,-0.12038936341326067,157.3820839695602,0.0,-8.256442252307826,-34.08526987522597,-694.6332226614627,-5416.718270613647,315.74947366657904,5677.446534404994,0,0,0,0,2,1,2,2,0,1,0
6000.0,101,82.34056265597754,46.73944559909015,-150.0,9.903025,102,82.2923619639826,46.693624316129814,7.382083969560223,25.7222,5426.068632,2,-1,0,7,-172.7337640099311,7.220826102292579,-22.733764009931093,-0.16125786726764435,157.3820839695602,0.0,-8.256442252307826,-34.08526987522597,-686.2895402914602,-5382.4926814684,313.700250528473,5641.018239364361,0,0,0,0,2,1,2,2,0,1,0
7000.0,101,82.34048552758877,46.739111505117314,-150.0,9.903025,102,82.29259137186196,46.69384593263269,7.382083969560223,25.7222,5391.064017,2,-1,0,7,-172.775716328463,7.179424496934635,-22.775716328463005,-0.20265947262558814,157.3820839695602,0.0,-8.256442252307826,-34.08526987522597,-677.9463025554801,-5348.267013364565,311.65102901546163,5604.592690467896,0,0,0,0,2,1,2,2,0,1,0
8000.0,101,82.34040839920003,46.738777414488574,-150.0,9.903025,102,82.29282077974129,46.69406755569225,7.382083969560223,25.7222,5356.062306,2,-1,0,7,-172.81821215934957,7.137479382601569,-22.81821215934957,-0.24460458695865395,157.3820839695602,0.0,-8.256442252307826,-34.08526987522597,-669.6035092857446,-5314.041264998443,309.6018090515421,5568.169939656728,0,0,0,0,2,1,2,2,0,1,0
9000.0,101,82.34033127081126,46.73844332720387,-150.0,9.903025,102,82.29305018762065,46.69428918530888,7.382083969560223,25.7222,5321.063556,2,-1,0,7,-172.8612621815218,7.094980080363306,-22.861262181521795,-0.2871038891969171,157.3820839695602,0.0,-8.256442252307826,-34.08526987522597,-661.2611605130523,-5279.815436602713,307.55259065029077,5531.750041882422,0,0,0,0,2,1,2,2,0,1,0
