frame,t,intent_state
1,0.0,1005_1005
2,1000.0,1005_1005
3,2000.0,1005_1005
4,3000.0,1005_1005
5,4000.0,1005_1005
6,5000.0,1005_1005
7,6000.0,1005_1005
8,7000.0,1005_1005
9,8000.0,1005_1005
10,9000.0,1005_1005
11,10000.0,1005_1005
12,11000.0,1005_1005
13,12000.0,1005_1005
14,13000.0,1005_1005
15,14000.0,1005_1005
16,15000.0,1005_1005
17,16000.0,1005_1005
18,17000.0,1005_1005
19,18000.0,1005_1005
20,19000.0,1005_1005
21,20000.0,1005_1005
22,21000.0,1005_1005
23,22000.0,1005_1005
24,23000.0,1005_1005
25,24000.0,1005_1005
26,25000.0,1005_1005
27,26000.0,1005_1005
28,27000.0,1005_1005
29,28000.0,1005_1005
30,29000.0,1005_1005
31,30000.0,1005_1005
32,31000.0,1005_1005
33,32000.0,1005_1005
34,33000.0,1005_1005
35,34000.0,1005_1005
36,35000.0,1005_1005
37,36000.0,1005_1005
38,37000.0,1005_1005
39,38000.0,1005_1005
40,39000.0,1005_1005
41,40000.0,1005_1005
42,41000.0,1005_1005
43,42000.0,1005_1005
44,43000.0,1005_1005
45,44000.0,1005_1005
46,45000.0,1005_1005
47,46000.0,1005_1005
48,47000.0,1005_1005
49,48000.0,1005_1005
50,49000.0,1005_1005
51,50000.0,1005_1005
52,51000.0,1005_1005
53,52000.0,1005_1005
54,53000.0,1005_1005
55,54000.0,1005_1005
56,55000.0,1005_1005
57,56000.0,1005_1005
58,57000.0,1005_1005
59,58000.0,1005_1005
60,59000.0,1005_1005
61,60000.0,1005_1005
62,61000.0,1005_1005
63,62000.0,1005_1005
64,63000.0,1005_1005
65,64000.0,1005_1005
66,65000.0,1005_1005
67,66000.0,1005_1005
68,67000.0,1005_1005
69,68000.0,1005_1005
70,69000.0,1005_1005
71,70000.0,1005_1005
72,71000.0,1005_1005
73,72000.0,1005_1005
74,73000.0,1005_1005
75,74000.0,1005_1005
76,75000.0,1005_1005
77,76000.0,1005_1005
78,77000.0,1005_1005
79,78000.0,1005_1005
80,79000.0,1005_1005
81,80000.0,1005_1005
82,81000.0,1005_1005
83,82000.0,1005_1005
84,83000.0,1005_1005
85,84000.0,1005_1005
86,85000.0,1005_1005
87,86000.0,1005_1005
88,87000.0,1005_1005
89,88000.0,1005_1005
90,89000.0,1005_1005
91,90000.0,1005_1005
92,91000.0,1005_1005
93,92000.0,1005_1005
94,93000.0,1005_1005
95,94000.0,1005_1005
96,95000.0,1005_1005
97,96000.0,1005_1005
98,97000.0,1005_1005
99,98000.0,1005_1005
100,99000.0,1005_1005
101,100000.0,1005_1005
102,101000.0,1005_1005
103,102000.0,1005_1005
104,103000.0,1005_1005
105,104000.0,1005_1005
106,105000.0,1005_1005
107,106000.0,1005_1005
108,107000.0,1005_1005
109,108000.0,1005_1005
110,109000.0,1005_1005
111,110000.0,1005_1005
112,111000.0,1005_1005
113,112000.0,1005_1005
114,113000.0,1005_1005
115,114000.0,1005_1005
116,115000.0,1005_1005
117,116000.0,1005_1005
118,117000.0,1005_1005
119,118000.0,1005_1005
120,119000.0,1005_1005
121,120000.0,1005_1005
122,121000.0,1005_1005
123,122000.0,1005_1005
124,123000.0,1005_1005
125,124000.0,1005_1005
126,125000.0,1005_1005
127,126000.0,1005_1005
128,127000.0,1005_1005
129,128000.0,1005_1005
130,129000.0,1005_1005
131,130000.0,1005_1005
132,131000.0,1005_1005
133,132000.0,1005_1005
134,133000.0,1005_1005
135,134000.0,1005_1005
136,135000.0,1005_1005
137,136000.0,1005_1005
138,137000.0,1005_1005
139,138000.0,1005_1005
140,139000.0,1005_1005
141,140000.0,1005_1005
142,141000.0,1005_1005
143,142000.0,1005_1005
144,143000.0,1005_1005
145,144000.0,1005_1005
146,145000.0,1005_1005
147,146000.0,1005_1005
148,147000.0,1005_1005
149,148000.0,1005_1005
150,149000.0,1005_1005
151,150000.0,1005_1005
152,151000.0,1005_1005
153,152000.0,1005_1005
154,153000.0,1005_1005
155,154000.0,1005_1005
156,155000.0,1005_1005
157,156000.0,1005_1005
158,157000.0,1005_1005
159,158000.0,1005_1005
160,159000.0,1005_1005
161,160000.0,1005_1005
162,161000.0,1005_1005
163,162000.0,1005_1005
164,163000.0,1005_1005
165,164000.0,1005_1005
166,165000.0,1005_1005
167,166000.0,1005_1005
168,167000.0,1005_1005
169,168000.0,1005_1005
170,169000.0,1005_1005
171,170000.0,1005_1005
172,171000.0,1005_1005
173,172000.0,1005_1005
