time (ms),BID,b_lat (deg),b_lon (deg),b_head (deg),b_sp (mps),RID,r_lat (deg),r_lon (deg),r_head (deg),r_speed (mps),dist (m),beh_phase,colregs,avoidance,beh_label,abs_b_r,abs_r_b,rel_b_r,rel_r_b,abs_dheading,r_accel,dvx,dvy,xr,yr,cpa_time (s),cpa_dist (m),S_side,S_beam,S_reg_b_r,S_reg_r_b,S_drel_bear,S_ddist,S_accel,S_dabs_heading,S_cpa_t,S_cpa_ddist,S_cpa_tdist
0.0,101,-7.8811443267065755,-141.0490645256472,120.0,10.0,102,-7.931144326706575,-141.0740645256472,90.0,25.0,6178.813526,3,0,0,6,-153.6549260047472,26.34851276478952,-273.6549260047472,-63.65148723521048,30.0,0.0,-16.33974596215561,-5.0,-2742.0110681080355,-5537.06708388598,271.5076717562455,4509.911340370765,0,1,0,0,1,2,2,0,0,0,0
1000.0,101,-7.881189292779545,-141.04898589945046,120.0,9.903025,102,-7.931086136259417,-141.07384525881298,75.0,25.0,6161.690532,3,0,0,6,-153.73631846368366,26.26710095777937,-273.7363184636837,-48.73289904222063,45.0,0.0,-15.571874432914315,-11.421988627563017,-2726.565559154891,-5525.601366708316,367.6982723832581,3279.1376800947833,0,1,0,0,2,1,2,0,0,1,0
2000.0,101,-7.881233822794091,-141.0489080357229,120.0,9.903025,102,-7.9309737210125855,-141.07364866960125,60.0,25.0,6140.322595,3,0,0,6,-153.77351025030538,26.22989282586874,-273.7735102503054,-33.77010717413126,60.0,0.0,-13.074363870298574,-17.4515125,-2713.535279068079,-5508.201871747299,434.8086790242136,3626.9188474355637,0,1,0,0,2,1,2,0,0,0,0
3000.0,101,-7.881278352808636,-141.04883017198694,120.0,9.903025,102,-7.930828204052701,-141.07347562742763,49.66693906374583,25.0,6116.829894,3,0,0,6,-153.7740991005784,26.229290862278045,-273.7740991005784,-23.437648201467784,70.33306093625418,0.0,-10.481103543024323,-21.13225620902889,-2703.0969762353366,-5487.155427833208,456.1131476300468,4642.328296367643,0,1,0,0,2,1,2,0,0,0,0
4000.0,101,-7.881322882823182,-141.0487523082426,120.0,9.903025,102,-7.930682687092816,-141.07330258531522,49.66693906374583,25.0,6093.337195,3,0,0,6,-153.7746924991012,26.228684350613914,-273.7746924991012,-23.438254713131915,70.33306093625418,0.0,-10.481103543024323,-21.13225620902889,-2692.6586732682517,-5466.108985489013,454.3613567832763,4624.498760346252,0,1,0,0,2,1,2,2,0,1,0
5000.0,101,-7.8813674128377285,-141.04867444448988,120.0,9.903025,102,-7.930537170132934,-141.07312954326403,49.66693906374583,25.0,6069.844499,3,0,0,6,-153.77529049868295,26.228073238066095,-273.7752904986829,-23.438865825679734,70.33306093625418,0.0,-10.481103543024323,-21.13225620902889,-2682.220370605455,-5445.062545604935,452.60956611092837,4606.669226970895,0,1,0,0,2,1,2,2,0,1,0
6000.0,101,-7.881411942852274,-141.04859658072877,120.0,9.903025,102,-7.93039165317305,-141.0729565012741,49.66693906374583,25.0,6046.351807,3,0,0,6,-153.77589315292488,26.22745747103382,-273.7758931529249,-23.43948159271201,70.33306093625418,0.0,-10.481103543024323,-21.13225620902889,-2671.782068688195,-5424.016109069772,450.8577756869964,4588.8396970048125,0,1,0,0,2,1,2,2,0,1,0
7000.0,101,-7.881456472866822,-141.0485187169593,120.0,9.903025,102,-7.930246136213169,-141.07278345934537,49.66693906374583,25.0,6022.859117,3,0,0,6,-153.77650051634646,26.226836994997996,-273.77650051634646,-23.440102068747834,70.33306093625418,0.0,-10.481103543024323,-21.13225620902889,-2661.3437666242794,-5402.969674084809,449.10598536176195,4571.010168934495,0,1,0,0,2,1,2,2,0,1,0
8000.0,101,-7.881501002881369,-141.04844085318146,120.0,9.903025,102,-7.930100619253288,-141.07261041747785,49.66693906374583,25.0,5999.366431,3,0,0,6,-153.7771126442655,26.22621175463901,-273.77711264426546,-23.44072730910682,70.33306093625418,0.0,-10.481103543024323,-21.13225620902889,-2650.905465294225,-5381.923242436935,447.35419528376644,4553.180644282271,0,1,0,0,2,1,2,2,0,1,0
9000.0,101,-7.881545532895915,-141.04836298939523,120.0,9.903025,102,-7.929955102293408,-141.07243737567154,49.66693906374583,25.0,5975.873747,3,0,0,6,-153.77772959284582,26.22558169379645,-273.77772959284584,-23.44135736994938,70.33306093625418,0.0,-10.481103543024323,-21.13225620902889,-2640.4671638132168,-5360.876812323521,445.6024053032746,4535.351121534752,0,1,0,0,2,1,2,2,0,1,0
