time (ms),BID,b_lat (deg),b_lon (deg),b_head (deg),b_sp (mps),RID,r_lat (deg),r_lon (deg),r_head (deg),r_speed (mps),dist (m),beh_phase,colregs,avoidance,abs_b_r,abs_r_b,rel_b_r,rel_r_b,abs_dheading,r_accel,dvx,dvy,xr,yr,cpa_time (s),cpa_dist (m),S_side,S_beam,S_reg_b_r,S_reg_r_b,S_drel_bear,S_ddist,S_accel,S_dabs_heading,S_cpa_t,S_cpa_ddist,S_cpa_tdist,beh_label
0.0,101,-28.130651556921705,153.82553450399735,180.0,10.0,102,-28.155651556921704,153.85053450399735,0.0,25.0,3702.271693,3,-1,0,138.60095391487351,-41.410837988297025,-41.399046085126486,-41.410837988297025,180.0,0.0,1.2246467991473533e-15,-35.0,2448.3099628302266,-2777.155741886894,185.14371612579293,4439.087735384493,0,0,0,0,1,2,2,0,0,0,0,1
1000.0,101,-28.1307414890823,153.82553450399735,180.0,9.903025,102,-28.155434387414566,153.85046850386038,-15.0,25.0,3672.54637,3,-1,0,138.3245853544552,-41.68717539360286,-41.675414645544805,-26.687175393602857,165.0,0.0,6.470476127563019,-34.051170657226706,2441.9124925997926,-2743.111411934493,202.82761379215822,4313.904278294363,0,0,0,0,2,1,2,1,0,1,0,1
2000.0,101,-28.13083054912577,153.82553450399735,180.0,9.903025,102,-28.155239678516317,153.8503410016186,-30.0,25.0,3640.780153,3,-1,0,138.14145309278604,-41.8702474954619,-41.85854690721396,-11.870247495461903,150.0,0.0,12.5,-31.55366009461097,2429.4703020444817,-2711.6331193512515,203.8177647682001,3721.4425970520647,0,0,0,0,2,1,2,1,0,1,0,1
3000.0,101,-28.130919609169236,153.82553450399735,180.0,9.903025,102,-28.155080699296775,153.8501606864868,-45.0,25.0,3608.505926,3,-1,0,138.05828499093244,-41.953330534040106,-41.941715009067565,3.0466694659598943,135.0,0.0,17.67766952966369,-27.58069452966369,2411.8325684018923,-2684.097367826482,192.2216717718365,2797.1316560050304,0,0,0,0,2,1,2,1,0,1,0,1
4000.0,101,-28.1310086692127,153.82553450399735,180.0,9.903025,102,-28.15495990211397,153.84994561536217,-57.50129075763272,25.0,3577.086248,3,-1,0,138.05960022475637,-41.95191385082888,-41.940399775243634,15.549376906803836,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2390.7713855450393,-2660.7815031846885,177.48286814115846,2004.796014996799,0,0,0,0,2,1,2,1,0,1,0,1
5000.0,101,-28.13109772925616,153.82553450399735,180.0,9.903025,102,-28.154839104931163,153.84973054448022,-57.50129075763272,25.0,3545.666585,3,-1,0,138.06093945608322,-41.950473170342484,-41.93906054391678,15.550817587290233,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2369.7101797701966,-2637.4656767205647,175.92391966896776,1987.186990860892,0,0,0,0,2,1,2,2,0,1,0,1
6000.0,101,-28.13118678929963,153.82553450399735,180.0,9.903025,102,-28.154718307748354,153.84951547384094,-57.50129075763272,25.0,3514.246935,3,-1,0,138.06230332852908,-41.949007848957145,-41.93769667147092,15.552282908675572,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2348.6489497055577,-2614.149886904704,174.3649717379642,1969.5779765718091,0,0,0,0,2,1,2,2,0,1,0,1
7000.0,101,-28.131275849343094,153.82553450399735,180.0,9.903025,102,-28.154597510565548,153.84930040344432,-57.50129075763272,25.0,3482.827299,3,-1,0,138.06369250896915,-41.94751721978976,-41.936307491030846,15.553773537842957,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2327.587695981492,-2590.8341344391783,172.806024394963,1951.968972759096,0,0,0,0,2,1,2,2,0,1,0,1
8000.0,101,-28.13136490938656,153.82553450399735,180.0,9.903025,102,-28.154476713382746,153.8490853332904,-57.50129075763272,25.0,3451.407677,3,-1,0,138.06510768851868,-41.946000591744244,-41.93489231148132,15.555290165888472,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2306.5264185605515,-2567.5184192789684,171.24707763706112,1934.359979494354,0,0,0,0,2,1,2,2,0,1,0,1
9000.0,101,-28.131453969430023,153.82553450399735,180.0,9.903025,102,-28.154355916199943,153.84887026337913,-57.50129075763272,25.0,3419.98807,3,-1,0,138.06654958371902,-41.94445724825562,-41.93345041628098,15.5568335093771,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2285.4651180708147,-2544.2027421225457,169.68813151086513,1916.7509974122809,0,0,0,0,2,1,2,2,0,1,0,1
10000.0,101,-28.131543029473484,153.82553450399735,180.0,9.903025,102,-28.15423511901714,153.8486551937105,-57.50129075763272,25.0,3388.568477,3,-1,0,138.06801893774204,-41.942886446171414,-41.93198106225796,15.558404311461302,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2264.4037937998482,-2520.887102181086,168.12918596363613,1899.142026029425,0,0,0,0,2,1,2,2,0,1,0,1
11000.0,101,-28.13163208951695,153.82553450399735,180.0,9.903025,102,-28.154114321834346,153.84844012428456,-57.50129075763272,25.0,3357.148898,3,-1,0,138.0695165214457,-41.94128741461758,-41.930483478554294,15.56000334301514,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2243.342445707814,-2497.571499402629,166.5702409921361,1881.5330654256531,0,0,0,0,2,1,2,2,0,1,0,1
12000.0,101,-28.131721149560413,153.82553450399735,180.0,9.903025,102,-28.153993524651543,153.84822505510127,-57.50129075763272,25.0,3325.729333,3,-1,0,138.07104313494776,-41.93965935349219,-41.92895686505224,15.561631404140527,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2222.2810737476225,-2474.2559337384123,165.01129659300344,1863.924115683875,0,0,0,0,2,1,2,2,0,1,0,1
13000.0,101,-28.131810209603877,153.82553450399735,180.0,9.903025,102,-28.153872727468748,153.84800998616063,-57.50129075763272,25.0,3294.309783,3,-1,0,138.07259960881808,-41.93800143221708,-41.92740039118192,15.563289325415639,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2201.21967854171,-2450.940405878984,163.4523528123653,1846.3151774506068,0,0,0,0,2,1,2,2,0,1,0,1
14000.0,101,-28.13189926964734,153.82553450399735,180.0,9.903025,102,-28.153751930285946,153.84779491746266,-57.50129075763272,25.0,3262.890247,3,-1,0,138.0741868056158,-41.93631278823709,-41.925813194384205,15.564977969395628,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2180.1582593743483,-2427.624915024875,161.89340959698134,1828.706250254769,0,0,0,0,2,1,2,2,0,1,0,1
15000.0,101,-28.131988329690806,153.82553450399735,180.0,9.903025,102,-28.15363113310315,153.84757984900736,-57.50129075763272,25.0,3231.470726,3,-1,0,138.07580562146197,-41.934592525422644,-41.92419437853803,15.566698232210072,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2159.0968168636145,-2404.3094618630885,160.33446699270326,1811.097334749678,0,0,0,0,2,1,2,2,0,1,0,1
16000.0,101,-28.132077389734274,153.82553450399735,180.0,9.903025,102,-28.153510335920352,153.8473647807947,-57.50129075763272,25.0,3200.05122,3,-1,0,138.0774569877115,-41.932839712426876,-41.922543012288486,15.56845104520584,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2138.0353509556976,-2380.9940463359485,158.7755249956177,1793.4884310318487,0,0,0,0,2,1,2,2,0,1,0,1
17000.0,101,-28.13216644977774,153.82553450399735,180.0,9.903025,102,-28.153389538737557,153.8471497128247,-57.50129075763272,25.0,3168.631729,3,-1,0,138.0791418725834,-41.93105338102639,-41.92085812741661,15.570237376606329,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2116.973861597807,-2357.6786683806595,157.21658360165688,1775.879539201612,0,0,0,0,2,1,2,2,0,1,0,1
18000.0,101,-28.132255509821206,153.82553450399735,180.0,9.903025,102,-28.153268741554758,153.84693464509735,-57.50129075763272,25.0,3137.212252,3,-1,0,138.08086128310288,-41.929232524204295,-41.91913871689712,15.572058233428422,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2095.912348066065,-2334.3633271886156,155.65764275697293,1758.2706588028634,0,0,0,0,2,1,2,2,0,1,0,1
19000.0,101,-28.13234456986467,153.82553450399735,180.0,9.903025,102,-28.153147944371966,153.84671957761265,-57.50129075763272,25.0,3105.79279,3,-1,0,138.08261626710762,-41.92737609410543,-41.917383732892375,15.573914663527283,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2074.850810967942,-2311.048023439075,154.09870250677966,1740.6617905046573,0,0,0,0,2,1,2,2,0,1,0,1
20000.0,101,-28.132433629908135,153.82553450399735,180.0,9.903025,102,-28.15302714718917,153.84650451037058,-57.50129075763272,25.0,3074.373343,3,-1,0,138.08440791519902,-41.925483000145505,-41.91559208480098,15.575807757487212,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2053.7892502431573,-2287.732757062032,152.53976284649457,1723.0529344200108,0,0,0,0,2,1,2,2,0,1,0,1
21000.0,101,-28.1325226899516,153.82553450399735,180.0,9.903025,102,-28.152906350006376,153.84628944337115,-57.50129075763272,25.0,3042.953912,3,-1,0,138.08623736305518,-41.92355210664631,-41.913762636944824,15.577738650986404,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2032.727666495529,-2264.417528730014,150.9808238209621,1705.4440912270784,0,0,0,0,2,1,2,2,0,1,0,1
22000.0,101,-28.132611749995068,153.82553450399735,180.0,9.903025,102,-28.152785552823588,153.84607437661438,-57.50129075763272,25.0,3011.534495,3,-1,0,138.0881057936756,-41.921582230603754,-41.911894206324405,15.579708527028963,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,2011.6660583249482,-2241.102336877607,149.42188532597845,1687.8352599275393,0,0,0,0,2,1,2,2,0,1,0,1
23000.0,101,-28.132700810038536,153.82553450399735,180.0,9.903025,102,-28.152664755640796,153.84585931010025,-57.50129075763272,25.0,2980.115094,3,-1,0,138.09001444004065,-41.91957213902377,-41.90998555995935,15.581718618608946,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1990.6044269969536,-2217.7871829160617,147.86294745559562,1670.2264417700974,0,0,0,0,2,1,2,2,0,1,0,1
24000.0,101,-28.132789870082,153.82553450399735,180.0,9.903025,102,-28.152543958458008,153.84564424382876,-57.50129075763272,25.0,2948.695708,3,-1,0,138.0919645876578,-41.917520546425706,-41.9080354123422,15.58377021120701,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1969.5427717709902,-2194.472066020041,146.30401015479504,1652.6176363275233,0,0,0,0,2,1,2,2,0,1,0,1
25000.0,101,-28.132878930125464,153.82553450399735,180.0,9.903025,102,-28.15242316127522,153.84542917779993,-57.50129075763272,25.0,2917.276338,3,-1,0,138.09395757731608,-41.9154261119883,-41.906042422683925,15.585864645644413,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1948.4810932429882,-2171.1569868457923,144.74507346755945,1635.0088442992283,0,0,0,0,2,1,2,2,0,1,0,1
26000.0,101,-28.132967990168932,153.82553450399735,180.0,9.903025,102,-28.15230236409243,153.84521411201374,-57.50129075763272,25.0,2885.856984,3,-1,0,138.0959948083452,-41.91328743641382,-41.90400519165479,15.588003321218899,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1927.419391331917,-2147.8419453067954,143.18613738800815,1617.400065830247,0,0,0,0,2,1,2,2,0,1,0,1
27000.0,101,-28.1330570502124,153.82553450399735,180.0,9.903025,102,-28.152181566909647,153.84499904647018,-57.50129075763272,25.0,2854.437645,3,-1,0,138.09807774157994,-41.911103058844056,-41.90192225842006,15.590187698788661,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1906.3576652892775,-2124.5269405648783,141.6272018603859,1599.7913005115236,0,0,0,0,2,1,2,2,0,1,0,1
28000.0,101,-28.13314611025587,153.82553450399735,180.0,9.903025,102,-28.15206076972686,153.84478398116926,-57.50129075763272,25.0,2823.018322,3,-1,0,138.10020790294422,-41.90887145337366,-41.89979209705578,15.592419304259053,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1885.2959156966099,-2101.2119732681367,140.06826692789662,1582.1825490616725,0,0,0,0,2,1,2,2,0,1,0,1
29000.0,101,-28.133235170299336,153.82553450399735,180.0,9.903025,102,-28.151939972544074,153.84456891611097,-57.50129075763272,25.0,2791.599015,3,-1,0,138.10238688698323,-41.90659102544785,-41.897613113016774,15.594699732184864,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1864.2341424663489,-2077.8970433136783,138.5093325838396,1564.5738116459572,0,0,0,0,2,1,2,2,0,1,0,1
30000.0,101,-28.133324230342804,153.82553450399735,180.0,9.903025,102,-28.15181917536129,153.84435385129532,-57.50129075763272,25.0,2760.179725,3,-1,0,138.1046163609303,-41.904260107828044,-41.895383639069706,15.597030649804672,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1843.1723461714996,-2054.582151341174,136.95039887082464,1546.9650889976433,0,0,0,0,2,1,2,2,0,1,0,1
31000.0,101,-28.133413290386272,153.82553450399735,180.0,9.903025,102,-28.15169837817851,153.84413878672228,-57.50129075763272,25.0,2728.760451,3,-1,0,138.1068980687767,-41.90187695652759,-41.8931019312233,15.599413801105129,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1822.1105260460956,-2031.2672964958954,135.39146573190592,1529.3563807370326,0,0,0,0,2,1,2,2,0,1,0,1
32000.0,101,-28.133502350429737,153.82553450399735,180.0,9.903025,102,-28.151577580995724,153.8439237223919,-57.50129075763272,25.0,2697.341193,3,-1,0,138.10923383566566,-41.8994397464079,-41.89076616433434,15.601851011224817,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1801.0486819910564,-2007.9524786590302,133.8325331594136,1511.747687053293,0,0,0,0,2,1,2,2,0,1,0,1
33000.0,101,-28.133591410473205,153.82553450399735,180.0,9.903025,102,-28.15145678381294,153.84370865830414,-57.50129075763272,25.0,2665.921952,3,-1,0,138.1116255729457,-41.89694656611525,-41.88837442705429,15.60434419151747,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1779.9868145643682,-1984.6376984559383,132.27360119493108,1494.1390087050024,0,0,0,0,2,1,2,2,0,1,0,1
34000.0,101,-28.133680470516673,153.82553450399735,180.0,9.903025,102,-28.15133598663016,153.843493594459,-57.50129075763272,25.0,2634.502728,3,-1,0,138.11407528302095,-41.89439541325551,-41.88592471697905,15.606895344377207,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1758.9249236552682,-1961.3229557581153,130.71466983004305,1476.5303458997066,0,0,0,0,2,1,2,2,0,1,0,1
35000.0,101,-28.13376953056014,153.82553450399735,180.0,9.903025,102,-28.151215189447377,153.84327853085648,-57.50129075763272,25.0,2603.08352,3,-1,0,138.11658506501692,-41.891784188672005,-41.88341493498308,15.609506568960711,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1737.8630084783142,-1938.0082496878833,129.15573900631097,1458.9216982945252,0,0,0,0,2,1,2,2,0,1,0,1
36000.0,101,-28.13385859060361,153.82553450399735,180.0,9.903025,102,-28.151094392264596,153.8430634674966,-57.50129075763272,25.0,2571.66433,3,-1,0,138.11915712062498,-41.88911069072483,-41.880842879375024,15.61218006690789,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1716.8010702456838,-1914.6935815940951,127.59680881371456,1441.313067238588,0,0,0,0,2,1,2,2,0,1,0,1
37000.0,101,-28.133947650647073,153.82553450399735,180.0,9.903025,102,-28.150973595081815,153.8428484043793,-57.50129075763272,25.0,2540.245158,3,-1,0,138.1217937604777,-41.886372608734376,-41.878206239522314,15.61491814889834,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1695.7391088274976,-1891.378951330317,126.03787924254257,1423.7044529714012,0,0,0,0,2,1,2,2,0,1,0,1
38000.0,101,-28.134036710690538,153.82553450399735,180.0,9.903025,102,-28.15085279789904,153.8426333415047,-57.50129075763272,25.0,2508.826003,3,-1,0,138.12449741083014,-41.883567516466016,-41.875502589169855,15.6177232411667,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1674.6771234238465,-1868.0643579946027,124.4789502329818,1406.0958551839863,0,0,0,0,2,1,2,2,0,1,0,1
39000.0,101,-28.134125770734002,153.82553450399735,180.0,9.903025,102,-28.150732000716264,153.84241827887269,-57.50129075763272,25.0,2477.406865,3,-1,0,138.1272706212055,-41.880692864391044,-41.8727293787945,15.620597893241673,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1653.6151138894088,-1844.7498014271869,122.92002177431654,1388.4872741406195,0,0,0,0,2,1,2,2,0,1,0,1
40000.0,101,-28.134214830777466,153.82553450399735,180.0,9.903025,102,-28.15061120353349,153.84220321648326,-57.50129075763272,25.0,2445.987746,3,-1,0,138.13011607209611,-41.877745972027725,-41.869883927903885,15.623544785604992,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1632.5530814071305,-1821.4352829486536,121.36109395451341,1370.878711240077,0,0,0,0,2,1,2,2,0,1,0,1
41000.0,101,-28.13430389082093,153.82553450399735,180.0,9.903025,102,-28.150490406350716,153.84198815433646,-57.50129075763272,25.0,2414.568645,3,-1,0,138.1330365833299,-41.874724019542526,-41.8669634166701,15.62656673809019,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1611.4910251551928,-1798.1208016319151,119.80216671210484,1353.2701662141799,0,0,0,0,2,1,2,2,0,1,0,1
42000.0,101,-28.134392950864395,153.82553450399735,180.0,9.903025,102,-28.150369609167942,153.84177309243228,-57.50129075763272,25.0,2383.149563,3,-1,0,138.13603512354248,-41.87162403829389,-41.863964876457516,15.629666719338829,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1590.42894563498,-1774.8063580327566,118.24324008423001,1335.6616399311051,0,0,0,0,2,1,2,2,0,1,0,1
43000.0,101,-28.13448201090786,153.82553450399735,180.0,9.903025,102,-28.15024881198517,153.8415580307707,-57.50129075763272,25.0,2351.730499,3,-1,0,138.13911482004718,-41.86844290096811,-41.86088517995282,15.632847856664604,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1569.3668420029785,-1751.4919512085648,116.68431400812814,1318.0531321545636,0,0,0,0,2,1,2,2,0,1,0,1
44000.0,101,-28.134571070951324,153.82553450399735,180.0,9.903025,102,-28.15012801480239,153.84134296935173,-57.50129075763272,25.0,2320.311455,3,-1,0,138.14227896948304,-41.86517731093723,-41.857721030516956,15.63611344669549,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1548.3047154098479,-1728.1775824387514,115.12538856917611,1300.4446443471975,0,0,0,0,2,1,2,2,0,1,0,1
45000.0,101,-28.134660130994792,153.82553450399735,180.0,9.903025,102,-28.15000721761962,153.8411279081754,-57.50129075763272,25.0,2288.892429,3,-1,0,138.14553104941356,-41.86182379063184,-41.85446895058644,15.639466967000878,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1527.2425643291256,-1704.8632500100753,113.56646365352499,1282.8361757485513,0,0,0,0,2,1,2,2,0,1,0,1
46000.0,101,-28.134749191038257,153.82553450399735,180.0,9.903025,102,-28.149886420436847,153.84091284724167,-57.50129075763272,25.0,2257.473424,3,-1,0,138.14887473115775,-41.858378668726644,-41.85112526884225,15.642912088906073,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1506.1803905550728,-1681.5489559253551,112.00753939459253,1265.227728420578,0,0,0,0,2,1,2,2,0,1,0,1
47000.0,101,-28.134838251081725,153.82553450399735,180.0,9.903025,102,-28.149765623254076,153.84069778655055,-57.50129075763272,25.0,2226.054438,3,-1,0,138.15231389318157,-41.85483806676728,-41.84768610681843,15.646452690865438,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1485.1181925374342,-1658.234698447069,110.4486156768444,1247.6193016443844,0,0,0,0,2,1,2,2,0,1,0,1
48000.0,101,-28.134927311125185,153.82553450399735,180.0,9.903025,102,-28.149644826071306,153.84048272610204,-57.50129075763272,25.0,2194.635473,3,-1,0,138.15585263611447,-41.85119788411187,-41.844147363885526,15.650092873520848,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1464.0559713802863,-1634.9204788049046,108.88969258227743,1230.0108969659639,0,0,0,0,2,1,2,2,0,1,0,1
49000.0,101,-28.13501637116865,153.82553450399735,180.0,9.903025,102,-28.149524028888536,153.8402676658961,-57.50129075763272,25.0,2163.216529,3,-1,0,138.1594952987936,-41.847453781941475,-41.84050470120641,15.653836975691242,122.49870924236728,0.0,21.0850887467154,-23.335040207821034,1442.9937268403598,-1611.606296723296,107.33077009265455,1212.4025148350765,0,0,0,0,2,1,2,2,0,1,0,1
