time (ms),BID,b_lat (deg),b_lon (deg),b_head (deg),b_sp (mps),RID,r_lat (deg),r_lon (deg),r_head (deg),r_speed (mps),dist (m),beh_phase,colregs,avoidance,abs_b_r,abs_r_b,rel_b_r,rel_r_b,abs_dheading,r_accel,dvx,dvy,xr,yr,cpa_time (s),cpa_dist (m),S_side,S_beam,S_reg_b_r,S_reg_r_b,S_drel_bear,S_ddist,S_accel,S_dabs_heading,S_cpa_t,S_cpa_ddist,S_cpa_tdist,beh_label
0.0,101,-6.092028648336438,-54.455253639044315,-60.0,10.0,102,-6.117028648336438,-54.40525363904432,-45.0,25.0,6186.715578,0,-1,0,116.69825742277378,-63.307059710851625,176.6982574227738,-18.307059710851625,15.0,0.0,9.017415491819303,-12.677669529663689,5527.119226851425,-2779.640749312253,394.2876650566168,2968.4092420356756,1,1,2,0,0,2,2,0,0,0,0,2
1000.0,101,-6.0919836822504925,-54.45533196490164,-60.0,9.903025,102,-6.116916233100242,-54.40544946280082,-60.0,25.7222,6171.747886,2,-1,0,116.69022542378544,-63.31507914667671,176.69022542378542,-3.315079146676709,0.0,0.0007222000000000009,13.699807416911696,-7.909587500000003,5514.135981092764,-2772.1429166555627,389.4927072920012,356.3218018015773,1,1,2,0,2,1,2,1,0,1,0,2
2000.0,101,-6.09193915222322,-54.45540953118752,-60.0,9.903025,102,-6.116812898687822,-54.40565761016461,-63.4674678488272,25.7222,6155.911674,2,-1,0,116.69619083510284,-63.3090997853604,176.69619083510284,0.15836806346679566,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5499.699234858052,-2765.6024414566973,382.8384109699355,263.73590233838047,1,1,2,0,2,1,2,0,0,1,0,2
3000.0,101,-6.091894622195947,-54.45548709746697,-60.0,9.903025,102,-6.116709564275403,-54.40586575748817,-63.4674678488272,25.7222,6140.075529,2,-1,0,116.70218704829135,-63.30308962251218,176.70218704829136,0.16437822631501575,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5485.262487088125,-2759.061969142486,381.8519275321265,263.6665382879948,1,1,2,0,2,1,2,2,0,1,0,2
4000.0,101,-6.091850092168675,-54.45556466373999,-60.0,9.903025,102,-6.1166062298629855,-54.406073904771496,-63.4674678488272,25.7222,6124.239451,2,-1,0,116.70821430210917,-63.29704841937226,176.70821430210918,0.17041942945493815,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5470.82573731984,-2752.521499473458,380.86544404894227,263.5973341022208,1,1,2,0,2,1,2,2,0,1,0,2
5000.0,101,-6.091805562141403,-54.45564223000658,-60.0,9.903025,102,-6.1165028954505685,-54.406282052014596,-63.4674678488272,25.7222,6108.40344,2,-1,0,116.7142728377904,-63.2909759347087,176.71427283779042,0.1764919141185004,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5456.388985085188,-2745.981032207773,379.87896048763747,263.5282898788972,1,1,2,0,2,1,2,2,0,1,0,2
6000.0,101,-6.091761032114131,-54.45571979626673,-60.0,9.903025,102,-6.1163995610381505,-54.40649019921747,-63.4674678488272,25.7222,6092.567497,2,-1,0,116.72036289907915,-63.28487192477582,176.72036289907913,0.1825959240513768,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5441.952230804368,-2739.4405675510106,378.89247687731563,263.45940575895577,1,1,2,0,2,1,2,2,0,1,0,2
7000.0,101,-6.091716502086858,-54.45579736252044,-60.0,9.903025,102,-6.116296226625734,-54.40669834638012,-63.4674678488272,25.7222,6076.731623,2,-1,0,116.72648473224247,-63.27873614330798,176.72648473224245,0.18873170551921703,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5427.515474893251,-2732.9001057050177,377.90599324673883,263.3906818816111,1,1,2,0,2,1,2,2,0,1,0,2
8000.0,101,-6.0916719720595855,-54.45587492876773,-60.0,9.903025,102,-6.116192892213318,-54.40690649350254,-63.4674678488272,25.7222,6060.895819,2,-1,0,116.73263858611989,-63.27256834146334,176.7326385861199,0.19489950736385708,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5413.078717762532,-2726.359646869435,376.91950962431906,263.32211838600193,1,1,2,0,2,1,2,2,0,1,0,2
9000.0,101,-6.091627442032315,-54.455952495008574,-60.0,9.903025,102,-6.116089557800903,-54.40711464058474,-63.4674678488272,25.7222,6045.060084,2,-1,0,116.73882471216835,-63.266368267786376,176.73882471216837,0.20109958104082182,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5398.641958030985,-2719.819190342891,375.9330259137337,263.25371532523934,1,1,2,0,2,1,2,2,0,1,0,2
10000.0,101,-6.091582912005043,-54.45603006124299,-60.0,9.903025,102,-6.115986223388488,-54.407322787626704,-63.4674678488272,25.7222,6029.224419,2,-1,0,116.74504336446465,-63.26013566820168,176.74504336446466,0.20733218062552083,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5384.2051960994795,-2713.278736319079,374.9465421426847,263.18547283678305,1,1,2,0,2,1,2,2,0,1,0,2
11000.0,101,-6.09153838197777,-54.45610762747097,-60.0,9.903025,102,-6.115882888976073,-54.407530934628454,-63.4674678488272,25.7222,6013.388825,2,-1,0,116.75129479977974,-63.25387028593524,176.75129479977974,0.2135975628919553,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5369.768432362593,-2706.738284991192,373.9600583385048,263.11739105993183,1,1,2,0,2,1,2,2,0,1,0,2
12000.0,101,-6.091493851950498,-54.45618519369252,-60.0,9.903025,102,-6.1157795545636615,-54.40773908158998,-63.4674678488272,25.7222,5997.553302,2,-1,0,116.75757927757496,-63.24757186152868,176.75757927757496,0.21989598729852133,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5355.331666317486,-2700.1978360979924,372.9735744659758,263.0494700880444,1,1,2,0,2,1,2,2,0,1,0,2
13000.0,101,-6.091449321923227,-54.45626275990763,-60.0,9.903025,102,-6.11567622015125,-54.40794722851128,-63.4674678488272,25.7222,5981.717851,2,-1,0,116.76389706006101,-63.2412401327704,176.76389706006103,0.2262277160567976,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5340.894898348706,-2693.6573898261126,371.9870905516932,262.9817100582784,1,1,2,0,2,1,2,2,0,1,0,2
14000.0,101,-6.091404791895955,-54.45634032611631,-60.0,9.903025,102,-6.115572885738838,-54.40815537539236,-63.4674678488272,25.7222,5965.882473,2,-1,0,116.77024841222497,-63.234874834671004,176.770248412225,0.23259301415619404,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5326.458128835503,-2687.1169463591996,371.00060662187553,262.91411110708407,1,1,2,0,2,1,2,2,0,1,0,2
15000.0,101,-6.091360261868683,-54.45641789231856,-60.0,9.903025,102,-6.115469551326427,-54.40836352223322,-63.4674678488272,25.7222,5950.047168,2,-1,0,116.7766336018778,-63.228475699422496,176.7766336018778,0.2389921494047016,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5312.021357258485,-2680.576505428364,370.0141226401696,262.84667332709085,1,1,2,0,2,1,2,2,0,1,0,2
16000.0,101,-6.091315731841411,-54.456495458514375,-60.0,9.903025,102,-6.115366216914017,-54.40857166903386,-63.4674678488272,25.7222,5934.211936,2,-1,0,116.78305289968227,-63.222042456360455,176.78305289968227,0.24542539246674266,3.467467848827198,0.0,14.436889031866588,-6.538745454607645,5297.584583092974,-2674.0360667613495,369.0276385698361,262.7793968098828,1,1,2,0,2,1,2,2,0,1,0,2
