time (ms),BID,b_lat (deg),b_lon (deg),b_head (deg),b_sp (mps),RID,r_lat (deg),r_lon (deg),r_head (deg),r_speed (mps),dist (m),beh_phase,colregs,avoidance,abs_b_r,abs_r_b,rel_b_r,rel_r_b,abs_dheading,r_accel,dvx,dvy,xr,yr,cpa_time (s),cpa_dist (m),S_side,S_beam,S_reg_b_r,S_reg_r_b,S_drel_bear,S_ddist,S_accel,S_dabs_heading,S_cpa_t,S_cpa_ddist,S_cpa_tdist,beh_label
0.0,101,6.856035,128.851006,-60.0,9.903025,102,6.860204,128.898924,71.0,13.954263,5316.331344,3,0,0,84.98911447973289,-95.0051635765344,144.9891144797329,-166.00516357653441,131.0,0.0,-21.770286099610637,0.4084488482802131,5296.012971817917,464.35499516340457,-243.14414847868343,563.6733866105424,1,1,1,0,0,2,2,0,1,0,0,0
1000.0,101,6.85608,128.850928,-60.0,9.903025,102,6.860245,128.899043,71.0,13.954263,5338.009759,3,0,0,85.01426459047875,-94.97998990593574,145.01426459047875,-165.97998990593572,131.0,0.0,-21.770286099610637,0.4084488482802131,5317.812683070167,463.91427544030927,-244.1470198595188,563.6421316614493,1,1,1,0,2,0,2,2,1,1,0,0
2000.0,101,6.856124,128.85085,-60.0,9.903025,102,6.860286,128.899163,71.0,13.954263,5359.68915,3,0,0,85.03812790459985,-94.95610291267582,145.03812790459983,-165.95610291267582,131.0,0.0,-21.770286099610637,0.4084488482802131,5339.603586028395,463.5745125655978,-245.14939907405608,563.7116422589555,1,1,1,0,2,0,2,2,1,0,0,0
3000.0,101,6.856169,128.850773,-60.0,9.903025,102,6.860327,128.899282,71.0,13.954263,5381.369507,3,0,0,85.06277651447424,-94.93143086177724,145.06277651447425,-165.93143086177724,131.0,0.0,-21.770286099610637,0.4084488482802131,5361.402435444104,463.1432781369567,-246.15222263831234,563.6898575647782,1,1,1,0,2,0,2,2,1,1,0,0
4000.0,101,6.856213,128.850695,-60.0,9.903025,102,6.860368,128.899402,71.0,13.954263,5403.050816,3,0,0,85.08625283398909,-94.90793086253802,145.08625283398908,-165.90793086253802,131.0,0.0,-21.770286099610637,0.4084488482802131,5383.193378554157,462.80359697062494,-247.15460362879224,563.7594541957781,1,1,1,0,2,0,2,2,1,0,0,0
5000.0,101,6.856258,128.850617,-60.0,9.903025,102,6.860409,128.899521,71.0,13.954263,5424.733068,3,0,0,85.11061267078033,-94.88354746472358,145.1106126707803,-165.88354746472356,131.0,0.0,-21.770286099610637,0.4084488482802131,5404.993009758619,462.36286995513166,-248.15747133480653,563.7281979769609,1,1,1,0,2,0,2,2,1,1,0,0
6000.0,101,6.856303,128.85054,-60.0,9.903025,102,6.860449,128.899641,71.0,13.954263,5446.41625,3,0,0,85.13594556488806,-94.85819100972358,145.13594556488806,-165.85819100972358,131.0,0.0,-21.770286099610637,0.4084488482802131,5426.802005771699,461.8116048956834,-249.16086506577062,563.586612323505,1,1,1,0,2,0,2,2,1,1,0,0
7000.0,101,6.856347,128.850462,-60.0,9.903025,102,6.86049,128.89976,71.0,13.954263,5468.100351,3,0,0,85.15875321177855,-94.83535980165266,145.15875321177856,-165.83535980165266,131.0,0.0,-21.770286099610637,0.4084488482802131,5448.592148450744,461.48136305513606,-250.16320110315445,563.6656361385081,1,1,1,0,2,0,2,2,1,0,0,0
8000.0,101,6.856392,128.850384,-60.0,9.903025,102,6.860531,128.89988,71.0,13.954263,5489.78536,3,0,0,85.18263521166224,-94.81145412045026,145.18263521166224,-165.81145412045026,131.0,0.0,-21.770286099610637,0.4084488482802131,5470.392435261604,461.0313472020587,-251.16610697245727,563.6251117767532,1,1,1,0,2,0,2,2,1,1,0,0
9000.0,101,6.856436,128.850306,-60.0,9.903025,102,6.860572,128.899999,71.0,13.954263,5511.471267,3,0,0,85.20507937120455,-94.78898639914205,145.20507937120453,-165.78898639914206,131.0,0.0,-21.770286099610637,0.4084488482802131,5492.182625069066,460.7011394125807,-252.16844514773044,563.7041741010106,1,1,1,0,2,0,2,2,1,0,0,0
10000.0,101,6.856481,128.850229,-60.0,9.903025,102,6.860613,128.900119,71.0,13.954263,5533.158062,3,0,0,85.22849636530069,-94.76554584255886,145.22849636530069,-165.76554584255888,131.0,0.0,-21.770286099610637,0.4084488482802131,5513.9820928342315,460.26038171781045,-253.17130536422286,563.6728936860239,1,1,1,0,2,0,2,2,1,1,0,0
11000.0,101,6.856525,128.850151,-60.0,9.903025,102,6.860654,128.900238,71.0,13.954263,5554.845733,3,0,0,85.25058636363397,-94.74343228187844,145.25058636363397,-165.74343228187843,131.0,0.0,-21.770286099610637,0.4084488482802131,5535.772336408868,459.9301652192523,-254.17364601957115,563.7519518869369,1,1,1,0,2,0,2,2,1,0,0,0
12000.0,101,6.85657,128.850073,-60.0,9.903025,102,6.860695,128.900358,71.0,13.954263,5576.53427,3,0,0,85.27373789776202,-94.72025706525925,145.27373789776203,-165.72025706525926,131.0,0.0,-21.770286099610637,0.4084488482802131,5557.572518698514,459.48031937341915,-255.17654693563534,563.7116030770657,1,1,1,0,2,0,2,2,1,1,0,0
