time (ms),BID,b_lat (deg),b_lon (deg),b_head (deg),b_sp (mps),RID,r_lat (deg),r_lon (deg),r_head (deg),r_speed (mps),dist (m),beh_phase,colregs,avoidance,beh_label,abs_b_r,abs_r_b,rel_b_r,rel_r_b,abs_dheading,r_accel,dvx,dvy,xr,yr,cpa_time (s),cpa_dist (m),S_side,S_beam,S_reg_b_r,S_reg_r_b,S_drel_bear,S_ddist,S_accel,S_dabs_heading,S_cpa_t,S_cpa_ddist,S_cpa_tdist
0.0,101,-50.837364,48.753157,-120.0,9.903025,102,-50.793536,48.723734,-100.0,13.954263,5298.224349,3,-1,0,1,-22.996079285467168,157.02672692178993,97.00392071453282,257.02672692178993,20.0,0.0,5.165995165659002,-2.5283801593649264,-2069.847441131587,4877.182877725368,-924.3391825266684,3710.8868880783075,1,1,1,2,0,2,2,0,1,0,0
1000.0,101,-50.837408,48.753035,-120.0,9.903025,102,-50.793525,48.723536,-85.0,13.954263,5305.989368,3,-1,0,1,-23.02341657963422,156.99944854173302,96.97658342036578,241.99944854173302,35.0,0.0,5.324891592065423,-6.167706656261162,-2075.211190824118,4883.341242101291,-1348.3884883088592,6151.864360902046,1,1,1,2,2,0,2,0,1,0,0
2000.0,101,-50.837453,48.752913,-120.0,9.903025,102,-50.793515,48.723338,-85.0,13.954263,5313.755546,3,-1,0,1,-23.050674019036194,156.9722500167947,96.9493259809638,241.9722500167947,35.0,0.0,5.324891592065423,-6.167706656261162,-2080.5749268217805,4889.499562994796,-1350.5679575527085,6161.109180229373,1,1,1,2,2,0,2,2,1,0,0
3000.0,101,-50.837498,48.752791,-120.0,9.903025,102,-50.793504,48.723141,-85.0,13.954263,5321.522878,3,-1,0,1,-23.07668619602471,156.94629597901684,96.92331380397529,241.94629597901684,35.0,0.0,5.324891592065423,-6.167706656261162,-2085.8390412539725,4895.700280353987,-1352.7386169198842,6170.3447263332555,1,1,1,2,2,0,2,2,1,0,0
4000.0,101,-50.837542,48.752669,-120.0,9.903025,102,-50.793493,48.722943,-85.0,13.954263,5329.291359,3,-1,0,1,-23.10378755955497,156.91925352968278,96.89621244044503,241.91925352968278,35.0,0.0,5.324891592065423,-6.167706656261162,-2091.202849143797,4901.858528440507,-1354.9180839944133,6179.591582316752,1,1,1,2,2,0,2,2,1,0,0
5000.0,101,-50.837587,48.752547,-120.0,9.903025,102,-50.793482,48.722745,-85.0,13.954263,5337.060984,3,-1,0,1,-23.130341166843593,156.89275883677726,96.86965883315641,241.89275883677726,35.0,0.0,5.324891592065423,-6.167706656261162,-2096.5264767883355,4908.033891392819,-1357.0940008525909,6188.835301775725,1,1,1,2,2,0,2,2,1,0,0
6000.0,101,-50.837631,48.752424,-120.0,9.903025,102,-50.793471,48.722547,-85.0,13.954263,5344.831748,3,-1,0,1,-23.15659268739517,156.86656545535874,96.84340731260482,241.86656545535874,35.0,0.0,5.324891592065423,-6.167706656261162,-2101.8308150323014,4914.217500213985,-1359.2682193124674,6198.078043641448,1,1,1,2,2,0,2,2,1,0,0
7000.0,101,-50.837676,48.752302,-120.0,9.903025,102,-50.79346,48.72235,-85.0,13.954263,5352.603646,3,-1,0,1,-23.18229974609911,156.84091653597912,96.8177002539009,241.84091653597912,35.0,0.0,5.324891592065423,-6.167706656261162,-2107.094948593579,4920.418342863126,-1361.4389073251864,6207.317660776018,1,1,1,2,2,0,2,2,1,0,0
8000.0,101,-50.83772,48.75218,-120.0,9.903025,102,-50.793449,48.722152,-85.0,13.954263,5360.376672,3,-1,0,1,-23.20909199425892,156.81418320212347,96.79090800574107,241.81418320212347,35.0,0.0,5.324891592065423,-6.167706656261162,-2112.4588238360193,4926.576476958329,-1363.6183631191848,6216.568526600662,1,1,1,2,2,0,2,2,1,0,0
9000.0,101,-50.837765,48.752058,-120.0,9.903025,102,-50.793438,48.721954,-85.0,13.954263,5368.150823,3,-1,0,1,-23.235338499350025,156.78799561153133,96.76466150064998,241.78799561153133,35.0,0.0,5.324891592065423,-6.167706656261162,-2117.78237779661,4932.751874843262,-1365.7942741833226,6225.816243220918,1,1,1,2,2,0,2,2,1,0,0
10000.0,101,-50.837809,48.751936,-120.0,9.903025,102,-50.793427,48.721756,-85.0,13.954263,5375.926092,3,-1,0,1,-23.261976991665144,156.76141603357766,96.73802300833486,241.76141603357766,35.0,0.0,5.324891592065423,-6.167706656261162,-2123.146263125553,4938.909929531251,-1367.973715695657,6235.069077742201,1,1,1,2,2,0,2,2,1,0,0
11000.0,101,-50.837854,48.751814,-120.0,9.903025,102,-50.793416,48.721558,-85.0,13.954263,5383.702476,3,-1,0,1,-23.288070736504906,156.73538120329363,96.7119292634951,241.73538120329363,35.0,0.0,5.324891592065423,-6.167706656261162,-2128.469756539882,4945.08532237651,-1370.1496151823355,6244.3187562521825,1,1,1,2,2,0,2,2,1,0,0
12000.0,101,-50.837898,48.751692,-120.0,9.903025,102,-50.793405,48.721361,-85.0,13.954263,5391.479968,3,-1,0,1,-23.31387006767514,156.70964001141928,96.68612993232486,241.70964001141928,35.0,0.0,5.324891592065423,-6.167706656261162,-2133.7743110015094,4951.268871214258,-1372.3238592340476,6253.567478085755,1,1,1,2,2,0,2,2,1,0,0
